Facility Name,Site Address,Community,Inspection Area,Last Inspected,Last Infractions,Services
STARBUCKS COFFEE,"#650 Erb St W,  WATERLOO ON N2L 2Z7",WATERLOO,Food Safety,23-Jan-2020,,-
STARBUCKS COFFEE,"#227 KING ST S,  WATERLOO ON",WATERLOO,Food Safety,28-Oct-2019,1,-
STARBUCKS COFFEE  #55380,"#225 FAIRWAY RD S,  KITCHENER ON N2C 1X2",KITCHENER,Food Safety,05-Feb-2020,2,-
STARBUCKS COFFEE #4733,"#95 KING ST S,  WATERLOO ON N2J 1P2",WATERLOO,Food Safety,23-Jul-2019,1,-
STARBUCKS COFFEE #4762,"#569 Fairway Rd S,  KITCHENER ON N2C 1X4",KITCHENER,Food Safety,22-Jun-2020,,-
STARBUCKS COFFEE COMPANY,"#45 Sportsworld DR,  Kitchener Ontario N2P 2J5",AYR,Food Safety,14-Jan-2020,2,-
STATE & MAIN KITCHEN + BAR,"#B1-589 FAIRWAY RD S,  KITCHENER ON N2C 1X4",KITCHENER,Food Safety,10-Aug-2020,3,-
STATE & MAIN KITCHEN + BAR,"#375 Hespeler Rd,  CAMBRIDGE ON N1R 6B3",CAMBRIDGE,Food Safety,02-Oct-2020,3,-
STATE & MAIN RESTAURANT BAR,"#L01-578 WEBER ST N,  WATERLOO ON N2L 0C7",WATERLOO,Food Safety,18-Feb-2020,,-
STECKLE HERITAGE FARM,"#811 Bleams Rd,  KITCHENER ON N2E 3X4",KITCHENER,Food Safety,01-Oct-2019,,-
STEINMANN MENNONITE CHURCH,"#1316 SNYDER'S RD W,  WILMOT ON",WILMOT,Food Safety,11-Sep-2019,1,-
STEMMLER'S MEAT & CHEESE,"#3031 LOBSINGER LINE,  HEIDELBERG ON N0B 2M1",HEIDELBERG,Food Safety,08-Dec-2020,,-
STEWART AVENUE PUBLIC SCHOOL - BEFORE AND AFTER SCHOOL CARE,"#145 Stewart Ave,  CAMBRIDGE ON N1R 2V5",CAMBRIDGE,Food Safety,23-Sep-2019,,-
STEWART AVENUE PUBLIC SCHOOL: NUTRITION FOR LEARNING PROGRAM,"#145 Stewart Ave,  Cambridge ON N1R 2V5",CAMBRIDGE,Food Safety,24-Sep-2019,,-
STIRLING HEIGHTS,"#200 STIRLING MACGREGOR DR,  CAMBRIDGE ON N1S 5B7",CAMBRIDGE,Food Safety,09-Jun-2020,5,-
STOCK EXCHANGE BONE BROTH,"#2-175 Borden Ave S,  Kitchener ON N2G 3R7",KITCHENER,Food Safety,11-Feb-2020,,-
STONE CROCK,"#1396 KING ST N,  ST. JACOBS ON N0B 2N0",ST. JACOBS,Food Safety,13-Mar-2020,5,-
STONE CROCK - SALAD PREP ROOM,"#1386 KING ST N,  ST. JACOBS ON N0B 2N0",ST. JACOBS,Food Safety,13-Mar-2020,,-
STONE CROCK BAKERY,"#1402 KING ST N,  ST. JACOBS ON N0B 2N0",ST. JACOBS,Food Safety,13-Mar-2020,3,-
STONE CROCK MEATS & CHEESE,"#1408 KING ST N,  ST. JACOBS ON N0B 1N0",ST. JACOBS,Food Safety,27-Jan-2020,,-
STOP 2 SHOP,"#6-101 HAZELGLEN DR,  KITCHENER ON N2M 5A2",KITCHENER,Food Safety,06-Feb-2020,,-
STOP 2 SHOP,"#491 Highland Rd W,  KITCHENER ON N2M 5K1",KITCHENER,Food Safety,08-Feb-2021,6,-
STOP 2 SHOP,"#3-1020 OTTAWA ST N,  KITCHENER ON N2A 1H1",KITCHENER,Food Safety,13-Jan-2020,1,-
STOREHOUSE 408,"#408 Queen ST,  Cambridge ON N3C 1G9",CAMBRIDGE,Food Safety,21-Feb-2020,,-
STOYLES FISH & CHIPS,"#184 MAIN ST E,  CAMBRIDGE ON N1R 1W7",CAMBRIDGE,Food Safety,26-Nov-2020,4,-
STRASBURG CONVENIENCE & SMOKE,"#S21-700 STRASBURG RD,  KITCHENER ON N2E 2M2",KITCHENER,Food Safety,02-Mar-2020,,-
STREET DOGS,"#41 SHOEMAKER ST,  KITCHENER ON N2E 3G9",KITCHENER,Food Safety,25-Feb-2020,,-
STRITE INDUSTRIES - TASTE FINE FOODS,"#298 SHEPHERD Ave,  CAMBRIDGE ON N3C 1V1",CAMBRIDGE,Food Safety,24-Sep-2020,1,-
STRYKERZ KITCHEN & BAR,"#101-120 Ottawa St N,  KITCHENER ON N2H 3K5",KITCHENER,Food Safety,25-Nov-2020,3,-
STUDENTS SMART SHOP,"#113-280 LESTER St,  WATERLOO ON N2L 3W6",WATERLOO,Food Safety,19-Dec-2019,2,-
SUBSHACK,"#272 Sunview St,  WATERLOO ON N2L 3V9",WATERLOO,Food Safety,30-Apr-2019,,-
SUBSHACK,"#4B-809 VICTORIA ST N,  KITCHENER ON N2B 3C3",KITCHENER,Food Safety,02-Mar-2020,,-
SUBWAY,"#7B-250 DUNDAS ST S,  CAMBRIDGE ON N1R 8A8",CAMBRIDGE,Food Safety,13-Jul-2020,1,-
SUBWAY,"#655 STRASBURG RD,  KITCHENER ON N2E 2H7",KITCHENER,Food Safety,02-Mar-2020,,-
SUBWAY,"#6-160 UNIVERSITY Ave W,  WATERLOO ON N2L 3E9",WATERLOO,Food Safety,11-Mar-2020,1,-
SUBWAY,"#715 FISCHER-HALLMAN RD,  KITCHENER ON N2M 5N8",KITCHENER,Food Safety,02-Sep-2020,,-
SUBWAY,"#235 Ira Needles Blvd,  KITCHENER ON N2N 0B2",KITCHENER,Food Safety,24-Jan-2020,,-
SUBWAY,"#1 HESPELER RD,  CAMBRIDGE ON N1R 3G4",CAMBRIDGE,Food Safety,08-Jan-2020,,-
SUBWAY,"#107-80 KING ST S,  WATERLOO ON N2J 1P5",WATERLOO,Food Safety,08-Jan-2020,1,-
SUBWAY,"#4396 KING ST E,  KITCHENER ON N2P 2G4",KITCHENER,Food Safety,08-Jan-2020,1,-
SUBWAY,"#121-499 LANCASTER ST W,  KITCHENER ON N2K 1L8",KITCHENER,Food Safety,03-Jan-2020,1,-
SUBWAY,"#54B-875 HIGHLAND RD W,  KITCHENER ON N2N 2Y2",KITCHENER,Food Safety,09-Jan-2020,1,-
SUBWAY,"#55 NORTHFIELD DR E,  WATERLOO ON N2K 3T6",WATERLOO,Food Safety,17-Sep-2020,,-
SUBWAY,"#2-480 HESPELER RD,  CAMBRIDGE ON N1R 7J8",CAMBRIDGE,Food Safety,14-Oct-2020,,-
SUBWAY,"#94 BRIDGEPORT RD E,  WATERLOO ON N2J 2K2",WATERLOO,Food Safety,26-Feb-2020,1,-
SUBWAY,"#1020 OTTAWA ST N,  KITCHENER ON N2H 1H1",KITCHENER,Food Safety,17-Sep-2020,1,-
SUBWAY,"#6-900 Fairway Cres,  KITCHENER ON",KITCHENER,Food Safety,05-Oct-2020,2,-
SUBWAY,"#324 HIGHLAND RD W,  KITCHENER ON N2M 5G2",KITCHENER,Food Safety,08-Jan-2021,,-
SUBWAY,"#4-95 SAGINAW PKY,  CAMBRIDGE ON N1T 1W2",CAMBRIDGE,Food Safety,07-Jan-2020,1,-
SUBWAY,"#85 HURON ST,  NEW HAMBURG ON N3A 1K1",NEW HAMBURG,Food Safety,21-Jan-2020,,-
SUBWAY,"#10 Dolman St,  BRESLAU ON N0B 1M0",BRESLAU,Food Safety,08-Jan-2020,1,-
SUBWAY,"#402 KING ST N,  WATERLOO ON N2J 2Z3",WATERLOO,Food Safety,14-Jan-2021,1,-
SUBWAY,"#500 FAIRWAY RD S,  KITCHENER ON N2C 1X3",KITCHENER,Food Safety,02-Jan-2020,,-
SUBWAY,"#140 ST ANDREWS ST,  CAMBRIDGE ON N1S 1N3",CAMBRIDGE,Food Safety,11-Feb-2020,1,-
SUBWAY,"#100 JAMIESON PKY,  CAMBRIDGE ON N3C 4B3",CAMBRIDGE,Food Safety,04-Sep-2020,,-
SUBWAY,"#54 ARTHUR ST S,  ELMIRA ON N3B 2M7",ELMIRA,Food Safety,07-Jan-2020,,-
SUBWAY,"#2-250 KING ST W,  KITCHENER ON N2G 1B6",KITCHENER,Food Safety,03-Feb-2020,,-
SUBWAY,"#105-89 Main ST,  Cambridge ON N1R 1W1",CAMBRIDGE,Food Safety,03-Feb-2021,,-
SUBWAY,"#5-255 King St N,  WATERLOO ON N2J 4V2",WATERLOO,Food Safety,10-Jan-2020,,-
SUBWAY,"#2-720 Westmount Rd E,  KITCHENER ON N2E 2M6",KITCHENER,Food Safety,03-Dec-2020,,-
SUBWAY,"#25-450 Columbia St W,  Waterloo ON N2T 2W1",AYR,Food Safety,17-Jun-2020,,-
SUBWAY,"#607 KING ST W,  KITCHENER ON N2G 1C7",KITCHENER,Food Safety,17-Jan-2020,,-
SUBWAY,"#345 THE BOARDWALK,  WATERLOO ON N2T 0A6",WATERLOO,Food Safety,03-Jan-2020,,-
SUBWAY,"#425 UNIVERSITY Ave E,  WATERLOO ON N2K 4C9",WATERLOO,Food Safety,07-Jan-2020,,-
SUBWAY,"#A9-725 OTTAWA ST S,  KITCHENER ON N2E 3H5",KITCHENER,Food Safety,14-Oct-2020,,-
SUBWAY,"#575 CONESTOGA BLVD,  CAMBRIDGE ON N1R 7P5",CAMBRIDGE,Food Safety,14-Sep-2020,,-
SUBWAY,"#3-1120 VICTORIA ST N,  KITCHENER ON N2B 3T2",KITCHENER,Food Safety,15-Jan-2020,,-
SUBWAY,"#107-1515 KING ST E,  CAMBRIDGE ON N3H 3R6",CAMBRIDGE,Food Safety,26-Oct-2020,,-
SUBWAY,"#120-600 LAURELWOOD DR,  WATERLOO ON N2V 0A2",WATERLOO,Food Safety,13-Jan-2020,1,-
SUBWAY,"#18 Snyder's Rd W,  BADEN ON N3A 2M1",BADEN,Food Safety,14-Jan-2020,,-
SUBWAY,"#F10-550 KING ST N,  WATERLOO ON N2L 5W6",WATERLOO,Food Safety,28-Sep-2020,1,-
SUBWAY,"#3A-301 Water ST S,  CAMBRIDGE ON N1R 8N6",CAMBRIDGE,Food Safety,28-Jul-2020,,-
SUBWAY,"#324-355 HESPELER RD,  CAMBRIDGE ON N1R 6B3",CAMBRIDGE,Food Safety,21-Jan-2020,,-
SUBWAY,"#22-385 FREDERICK ST,  KITCHENER ON N2H 2P2",KITCHENER,Food Safety,11-Mar-2020,1,-
SUBWAY,"#120 OTTAWA ST N,  KITCHENER ON N2H 3K5",KITCHENER,Food Safety,30-Sep-2020,2,-
SUBWAY,"#299 Doon Valley DR,  KITCHENER ON N2G 4M4",KITCHENER,Food Safety,10-Feb-2020,,-
SUBWAY - GRAND RIVER HOSPITAL - KW CAMPUS,"#835 KING ST W,  KITCHENER ON N2G 1E8",KITCHENER,Food Safety,23-Sep-2020,1,-
SUBWAY - ST. MARY'S GENERAL HOSPITAL,"#911 Queens Blvd,  KITCHENER ON N2M 1B2",KITCHENER,Food Safety,13-Feb-2020,,-
SUBWAY SANDWICHES,"#2960 KINGSWAY DR,  KITCHENER ON N2C 1X1",KITCHENER,Food Safety,14-Aug-2020,,-
SUGAR BERRIES,"#103-38 Ainslie St N,  CAMBRIDGE ON N1R 3J5",CAMBRIDGE,Food Safety,20-Feb-2019,,-
SUGAR DADDIES BAKERY,"#33 MAIN ST,  CAMBRIDGE ON N1R 1V6",CAMBRIDGE,Food Safety,07-Jan-2020,3,-
SUGAR DADDIES BAKERY WHOLESALE,"#25 Main ST,  Cambridge ON N1R 1V6",CAMBRIDGE,Food Safety,07-Jan-2020,2,-
SUGAR MARMALADE KW,"#5-203 Lester St,  WATERLOO ON N2L 0B5",WATERLOO,Food Safety,14-Dec-2020,,-
SUGAR RUN,"#1B-33 Queen St S,  Kitchener ON N2G 1V8",KITCHENER,Food Safety,11-Feb-2020,,-
SUGARMAMAZ GOURMET,"#2864 VICTORIA ST N,  WOOLWICH ON N0B 1M0",WOOLWICH,Food Safety,-,,-
SUKI SUSHI,"#4-347 ERB STREET W,  WATERLOO ON N2L 1W4",WATERLOO,Food Safety,23-Dec-2019,1,-
SULTANS MEDITERRANEAN GRILL,"#253 KING ST N,  WATERLOO ON N2J 2Y8",WATERLOO,Food Safety,29-Jul-2020,,-
SUN VARIETY,"#1406 KING ST E,  CAMBRIDGE ON N3H 3R4",CAMBRIDGE,Food Safety,10-Jan-2020,,-
SUN WUI CHINESE RESTAURANT,"#1-2-79 Elgin St,  Cambridge ON N1S 4Y6",AYR,Food Safety,14-Oct-2020,2,-
SUNBEAM LODGE,"#389 PINNACLE DR,  KITCHENER ON N2P 2P7",KITCHENER,Food Safety,20-Nov-2020,1,-
SUNLIFE CAFETERIA,"#50 WESTMOUNT RD N,  WATERLOO ON N2L 2R5",WATERLOO,Food Safety,05-Feb-2020,,-
SUNNY DAY CARE,"#2209 KINGSWAY DR,  KITCHENER ON N2C 1A2",KITCHENER,Food Safety,16-Jul-2020,,-
SUNNYCREST HOME BAKING,"#1094 Geddes ST,  Hawkesville ON N0B 1X0",WELLESLEY,Food Safety,21-Nov-2019,2,-
SUNNY'S CONVENIENCE,"#2934 KING ST E,  KITCHENER ON N2A 2Y5",KITCHENER,Food Safety,24-Jan-2020,,-
SUNNY'S MINI MART,"#280 LANCASTER ST W,  KITCHENER ON N2H 4V3",KITCHENER,Food Safety,06-Jan-2020,3,-
SUNNYSIDE HOME,"#247 FRANKLIN ST N,  KITCHENER ON N2A 1Y5",KITCHENER,Food Safety,25-Nov-2020,2,-
SUNRISE ACRES,"#6049 Line 86,  Woolwich ON N0B 2V0",WEST MONTROSE,Food Safety,22-Oct-2019,,-
SUNRISE CATERING,"#125 Northfield Dr W,  Waterloo ON N2L 6K4",WATERLOO,Food Safety,24-Jan-2020,4,-
SUNRISE CONVENIENCE PLUS,"#14-383 ELGIN ST N,  CAMBRIDGE ON N1R 3C1",CAMBRIDGE,Food Safety,05-Feb-2020,2,-
SUNRISE GRILL,"#1400 OTTAWA ST S,  KITCHENER ON N2E 4E2",KITCHENER,Food Safety,14-Jul-2020,1,-
SUNRISE MILLS,"#840 KING St E,  CAMBRIDGE ON N3H 3P2",CAMBRIDGE,Food Safety,-,,-
SUNSET GRILL,"#11-235 Ira Needles Blvd,  KITCHENER ON N2N 0B2",KITCHENER,Food Safety,28-Jan-2020,1,-
SUNSET GRILL,"#H05-584 Weber St N,  Waterloo ON N2L 0C7",WATERLOO,Food Safety,08-Sep-2020,1,-
SUNSET GRILL,"#2-594 Hespeler RD,  CAMBRIDGE ON N1R 8H2",CAMBRIDGE,Food Safety,14-Jul-2020,3,-
SUNSET GRILL RESTAURANT,"#K1-10 Manitou Drive,  Kitchener Ontario N2C 2N3",KITCHENER,Food Safety,04-Nov-2020,,-
SUNSHINE MONTESSORI SCHOOL DAY CARE,"#10 BONIFACE Ave,  KITCHENER ON N2C 1L9",KITCHENER,Food Safety,04-Nov-2020,,-
SUPER 8 MOTEL,"#650 HESPELER RD,  CAMBRIDGE ON N1R 6J8",CAMBRIDGE,Food Safety,12-Feb-2020,1,-
SUPER ICE CREAM EXPRESS,"#99 Regina St S,  Waterloo ON N2J 4G6",CAMBRIDGE,Food Safety,30-Jul-2020,,-
SUPER SHAWARMA,"#168C-875 Highland Rd W,  KITCHENER ON N2N 2Y2",KITCHENER,Food Safety,08-Dec-2020,7,-
SUPER SMART CONVENIENCE,"#811 Barbara Ct,  Cambridge ON N3H 2N3",CAMBRIDGE,Food Safety,25-Mar-2019,2,-
SUPPERWORKS,"#283 NORTHFIELD DR E,  WATERLOO ON N2J 4C8",WATERLOO,Food Safety,11-Dec-2019,,-
SUPREME 2 FOR 1 PIZZA & WINGS,"#157 KING ST E,  KITCHENER ON N2G 2K8",KITCHENER,Food Safety,26-Oct-2020,3,-
SUSHI 99,"#12-36 Northfield Dr E,  WATERLOO ON N2L 6A1",WATERLOO,Food Safety,07-Feb-2021,5,-
SUSHI STARS,"#450 KING ST E,  KITCHENER ON N2G 2L6",KITCHENER,Food Safety,16-Jan-2021,1,-
SUSTAINABLE MARKET,"#275 Erb St E,  WATERLOO ON N2V 1N6",WATERLOO,Food Safety,29-Nov-2019,,-
SWEET AND SAVORY PIE COMPANY,"#11-373 Bridge St W,  WATERLOO ON N2K 3K3",WATERLOO,Food Safety,16-Jan-2020,1,-
SWEET CRAVINGS,"#160 ASMUS ST,  NEW HAMBURG ON N3A 1B2",NEW HAMBURG,Food Safety,24-Jul-2019,,-
SWEET DREAMS TEA SHOP,"#14-170 UNIVERSITY Ave W,  WATERLOO ON N2L 3E9",WATERLOO,Food Safety,16-Nov-2020,3,-
SWEET JESUS ICE CREAM,"#15-170 UNIVERSITY Ave. W,  Waterloo ON L1R 3G5",WATERLOO,Food Safety,18-Dec-2019,1,-
SWEET LOU'S COOKIES,"#B-341 Weber St N,  Waterloo ON N2J 3H8",WATERLOO,Food Safety,23-Jul-2020,,-
SWEET SCOOPS ELMIRA,"#4B Arthur Street South,  Elmira ON",BRESLAU,Food Safety,-,,-
SWEET SIGNATURES,"#225 LABRADOR DR,  WATERLOO ON N2K 4M8",WATERLOO,Food Safety,02-Dec-2019,1,-
SWEET SOPHIE'S,"#73 Queen St. E,  Cambridge ON N3C 2A9",CAMBRIDGE,Food Safety,-,,-
SWEET TEMPTATIONS CUPCAKERY,"#99 Regina St S,  Waterloo ON N2J 4V3",Outside Region - Wellington Dufferin,Food Safety,28-Mar-2019,,-
SWEETS BY TOO NICE TO SLICE,"#74 Huron St,  NEW HAMBURG ON",NEW HAMBURG,Food Safety,21-Nov-2019,,-
SWINE AND VINE,"#B- 295 Lancaster St W,  Kitchener ON N2H 4V4",KITCHENER,Food Safety,31-Jan-2020,,-
SWIRLS,"#4-385 WATERLOO ST,  NEW HAMBURG ON N3A 1S6",NEW HAMBURG,Food Safety,15-Apr-2019,1,-
SWISS CHALET,"#506 Hespeler RD,  CAMBRIDGE ON N1R 6J7",CAMBRIDGE,Food Safety,13-Jan-2020,,-
SWISS CHALET,"#340 The Boardwalk,  WATERLOO ON N2T 0A6",WATERLOO,Food Safety,26-Aug-2019,2,-
SWISS CHALET,"#1-525 HIGHLAND RD W,  KITCHENER ON N2M 5K1",KITCHENER,Food Safety,01-Oct-2020,1,-
SWISS CHALET,"#560 FAIRWAY RD S,  KITCHENER ON N2C 2X3",KITCHENER,Food Safety,10-Feb-2021,,-
SWISS CHALET,"#1151 VICTORIA ST N,  KITCHENER ON N2B 3C8",KITCHENER,Food Safety,19-Feb-2020,,-
SWISS CHALET,"#267 WEBER ST N,  WATERLOO ON N2J 3H8",WATERLOO,Food Safety,10-Feb-2020,2,-
SWISS CHALET,"#2960 KINGSWAY DR,  KITCHENER ON N2C 1X1",KITCHENER,Food Safety,06-Aug-2020,2,-
SWISS CHALET PLUS,"#101 DUNDAS ST S,  CAMBRIDGE ON N1R 5N6",CAMBRIDGE,Food Safety,05-Jan-2021,,-
SYMPOSIUM CAFE,"#D-500 Can Amera Pky,  CAMBRIDGE ON N1T 0A2",CAMBRIDGE,Food Safety,28-May-2020,,-
SYMPOSIUM CAFE,"#F011A-668 Erb St W,  Waterloo ON N2J 2K8",WATERLOO,Food Safety,10-Feb-2020,1,-
T&J SEAFOOD,"#26 ELM ST,  KITCHENER ON N2G 2G4",KITCHENER,Food Safety,03-Dec-2019,4,-
T&T SUPERMARKET,"#B1-50 Westmount Rd N,  Waterloo Ontario N2L 2R5",WATERLOO,Food Safety,30-Jun-2020,3,-
TAAZA FOOD MARKET,"#600 DOON VILLAGE RD,  KITCHENER ON N2P 1G6",KITCHENER,Food Safety,18-Feb-2020,2,-
TABLE 32 FOODBAR,"#32 STANLEY ST,  AYR ON N0B 1E0",AYR,Food Safety,08-Oct-2019,1,-
TACO BELL,"#10-2480  Homer Watson Blvd,  Kitchener ON",KITCHENER,Food Safety,21-Aug-2020,1,-
TACO FARM,"#8 Erb St W,  WATERLOO ON N2L 3L4",WATERLOO,Food Safety,16-Mar-2020,1,-
TACORRITO/HURRY CURRY,"#36 NORTHFIELD RD E,  WATERLOO ON N2V 1A1",WATERLOO,Food Safety,28-Jan-2021,8,-
TANDOORI XPRESS,"#425 University Ave East,  Waterloo ON N2K 4C9",WATERLOO,Food Safety,04-Feb-2021,,-
TANDOORI XPRESS,"#L-685 Fischer-Hallman Rd,  KITCHENER ON N2E 4E9",KITCHENER,Food Safety,02-Jan-2020,5,-
TANJO FAMILY FARM,"#2468 Lichty RD,  WELLESLEY ON N0K 1L0",WELLESLEY,Food Safety,18-Dec-2019,,-
TAPESTRY HALL,"#74 Grand Ave South,  Cambridge ON N1S 2L9",AYR,Food Safety,-,,-
TASTE OF EUROPE MEAT & DELI,"#612 KING ST E,  KITCHENER ON N2G 2M1",KITCHENER,Food Safety,12-Aug-2020,4,-
TASTE OF MEDITERRANEAN - GRAND RIVER HOSPITAL - KW CAMPUS,"#835 King St W,  Kitchener ON N2G 1N6",KITCHENER,Food Safety,23-Sep-2020,2,-
TASTE OF PHILLY CHEESESTEAK,"#98 KING ST W,  KITCHENER ON N2G 1A6",KITCHENER,Food Safety,24-Jul-2020,1,-
TASTE OF SEOUL,"#3-154 VICTORIA ST,  KITCHENER Ontario N2G 2B5",KITCHENER,Food Safety,27-Jan-2020,4,-
TEA TALK,"#107-308 Lester St,  Waterloo ON N2L 0G2",WATERLOO,Food Safety,04-Nov-2020,,-
TEA THYME EVENT CATERING,"#104-141 Whitney Pl,  Kitchener ON N2G 2X8",KITCHENER,Food Safety,-,,-
TED'S SMOKES,"#1005 OTTAWA ST N,  KITCHENER ON N2A 1H2",KITCHENER,Food Safety,07-Feb-2020,,-
"TEN SPOT, THE (FOOD SAFETY)","#102-165 King St W,  KITCHENER ON N2G 1A7",KITCHENER,Food Safety,18-Aug-2020,,-
TENDER LOVING DAY CARE,"#2 GRAND Ave S,  CAMBRIDGE ON N1S 2L2",CAMBRIDGE,Food Safety,27-Aug-2020,1,-
TENNECO CAFE,"#500 CONESTOGA BLVD,  CAMBRIDGE ON N1R 5T7",CAMBRIDGE,Food Safety,24-Oct-2019,5,-
TEREMOK CAFE,"#107-55 Erb St E,  WATERLOO ON N2J 4K8",WATERLOO,Food Safety,06-Sep-2019,,-
TERIYAKI EXPERIENCE,"#325-355 HESPELER RD,  CAMBRIDGE ON N1R 6B3",CAMBRIDGE,Food Safety,15-Sep-2020,2,-
TERRACE ON THE SQUARE,"#100 CAROLINE ST S,  WATERLOO ON N2L 1X5",WATERLOO,Food Safety,17-Nov-2020,3,-
THAI BISTRO,"#735 BELMONT Ave W,  KITCHENER ON N2M 1P3",KITCHENER,Food Safety,13-Feb-2020,1,-
THAI BRESLAU,"#17-10 TOWNSEND DR,  BRESLAU ON N0B 1M0",BRESLAU,Food Safety,28-Jan-2021,3,-
THAI COCONUT ISLAND,"#8B-580 HESPELER RD,  CAMBRIDGE ON N1R 6J8",CAMBRIDGE,Food Safety,20-Oct-2020,7,-
THAI EXPRESS,"#13-255 King St N,  WATERLOO ON N2J 4V2",WATERLOO,Food Safety,28-Jan-2020,2,-
THAI EXPRESS,"#2960 KINGSWAY DR,  KITCHENER ON N2C 1X1",KITCHENER,Food Safety,14-Jul-2020,1,-
THAI KING,"#253 KING ST N,  WATERLOO ON N2J 2Y8",WATERLOO,Food Safety,30-Jul-2020,2,-
THAI SUN,"#61,62-75 KING ST S,  WATERLOO ON N2J 1P2",WATERLOO,Food Safety,10-Feb-2021,2,-
THE ADVENTURERS GUILD,"#A-36 ONTARIO ST N,  KITCHENER ON N2H 4Y4",KITCHENER,Food Safety,30-Aug-2019,2,-
THE AGING OAK,"#3 Queen St E,  CAMBRIDGE ON N3C 2A7",CAMBRIDGE,Food Safety,29-Jan-2021,2,-
THE ALLEY,"#8-170 University Ave. W,  Waterloo ON N2L 3E9",WATERLOO,Food Safety,10-Feb-2021,5,-
THE BAUER BUTCHER COMPANY INC,"#E2-632 Colby Drive,  Waterloo ON",WATERLOO,Food Safety,-,,-
THE BIG SLICE,"#2-30 GLAMIS RD,  CAMBRIDGE ON N1R 7H5",CAMBRIDGE,Food Safety,07-Feb-2020,,-
THE BIRYANIWALLA,"#6-383 Elgin St N,  Cambridge ON N1R 8C1",CAMBRIDGE,Food Safety,10-Dec-2020,,-
THE BREAK ROOM,"#B-182 Weber St N,  WATERLOO ON N2J 3H4",WATERLOO,Food Safety,10-Dec-2019,2,-
THE BROKEN EGG,"#6-4293 King St E,  Kitchener ON N2V 9E9",KITCHENER,Food Safety,30-Oct-2020,1,-
THE BROTHERY,"#16-131 Sheldon Dr,  Cambridge ON N1R 6S2",CAMBRIDGE,Food Safety,30-Oct-2020,,-
THE BURGERS PRIEST,"#212 KING ST S,  WATERLOO ON N2J 1R3",WATERLOO,Food Safety,16-Dec-2020,1,-
THE CACTUS,"#7-465 Phillip ST,  WATERLOO ON",WATERLOO,Food Safety,19-Nov-2020,3,-
THE CARIBBEAN BASKET,"#8-383 ELGIN ST N,  CAMBRIDGE ON N1R 8C1",CAMBRIDGE,Food Safety,06-Mar-2020,,-
THE CHINA BOWL,"#5-258 King St N,  waterloo ON N2J 2Y9",WATERLOO,Food Safety,10-Feb-2021,7,-
THE CHURCH OF ST. JOHN EVANGELIST,"#23 WATER ST N,  KITCHENER ON N2H 5A4",KITCHENER,Food Safety,26-Jun-2020,1,-
THE CRUMBLY COOKIE DOUGH CO.,"#5-8 REGINA ST N,  WATERLOO ON N2J 2Z8",WATERLOO,Food Safety,19-Mar-2020,,-
THE CRUMBY COOKIE DOUGH COMPANY,"#104-141 Whitney Pl,  Kitchener ON N2G 2X8",KITCHENER,Food Safety,14-May-2019,,-
THE CRUMBY COOKIE DOUGH COMPANY (TRAILER),"#145A Cavelletti Ct,  Waterloo ON N2K 3X3",WATERLOO,Food Safety,06-Apr-2019,,-
THE CULINARY SUDIO,"#19-105 Lexington Rd,  Waterloo ON",AYR,Food Safety,-,,-
THE DOLLAR TREE,"#11-480 Hespeler Rd,  Cambridge ON N1R 7R9",CAMBRIDGE,Food Safety,04-Nov-2019,2,-
THE DRINK BOX,"#516 Thornview Place,  Waterloo ON N2T 2V9",WATERLOO,Food Safety,12-Jun-2019,1,-
THE DRINK UPTOWN,"#56 King Street North,  Waterloo Ontario N2J 2X1",WATERLOO,Food Safety,-,,-
THE ELDERBERRY FAIRY,"#3692 Nafziger Rd,  Wellesley ON N0B 2T0",WELLESLEY,Food Safety,25-Sep-2019,1,-
THE FALLS ROAD ON VICTORIA,"#296 Victoria Street North,  Kitchener ON N2H 5E3",KITCHENER,Food Safety,01-Oct-2020,1,-
THE FLAVORS,"#1B-3101 Kingsway Dr,  Kitchener ON N2C 1W9",AYR,Food Safety,25-Aug-2020,7,-
"THE FLOUR COMPANY BAKESHOP, INC.","#269 Frederick St,  Kitchener ON N2H3R3",KITCHENER,Food Safety,19-Dec-2019,2,-
THE FRYING DUTCHMAN FRENCH FRIES,"#12 Corydon Pl,  Cambridge ON N1R 7L5",CAMBRIDGE,Food Safety,22-Aug-2019,1,-
THE GOOD DOG CO.,"#253 King St N,  Waterloo ON N2J 2Y8",WATERLOO,Food Safety,18-Dec-2020,7,-
THE GRILL ON THE GO,"#40 Eldale Rd,  Woolwich ON N3B 3C7",ELMIRA,Food Safety,07-Aug-2020,,-
THE HEMLOCK STREET BURGER BAR,"#113-251 Hemlock,  Waterloo ON",WATERLOO,Food Safety,16-Jun-2020,,-
THE INN OF WATERLOO,"#475 KING ST N,  WATERLOO ON N2J 2Z5",WATERLOO,Food Safety,10-Mar-2020,1,-
THE LOOSE CABOOSE,"#122 Church St. W,  ELMIRA ON N3B 1N4",ELMIRA,Food Safety,29-Apr-2020,,-
THE MOBILE PIT STOP,"#1594 VICTORIA ST N,  KITCHENER ON",KITCHENER,Food Safety,01-Jul-2019,2,-
THE NOOK,"#125 Snyders Rd,  Baden ON N3A 2V4",BADEN,Food Safety,10-Mar-2020,1,-
